smiles,pKi,Ki,protein_path
CN(C)c(cc1)ccc1NC(c1cc(-c2ccncc2)nc2ccccc12)=O,3.0969100130080562,800.0,4wnv_meeko.pdb
CC(C)[C@@H]([C@](CCN(C)CCCc1nc(cccc2)c2[nH]1)(CC1)O)c(cc2)c1cc2F,3.0861861476162833,820.0,4wnv_meeko.pdb
CCOC(c([nH]cc1C2c3cc(Oc4nc(cccc5)c5[nH]4)ccc3)c1NC(CCC1)=C2C1=O)=O,3.0043648054024503,990.0,4wnv_meeko.pdb
CCC(N1CCOc2ccccc2)=NN(CCCN(CC2)CCN2c2cccc(Cl)c2)C1=O,3.0,1000.0,4wnv_meeko.pdb
C[C@@H](C(N[C@@H](C1(CCOCC1)Oc(cccc1)c1N1Cc(c2c3cccc2)c(C#N)n3-c(cccc2)c2C#N)C1=O)=O)NC,3.0,1000.0,4wnv_meeko.pdb
CCCCCc1cc(O)c([C@@H]2C=C(C)CC[C@H]2C(C)=C)c(O)c1,3.0,1000.0,4wnv_meeko.pdb
CC1(C)O[C@@H]([C@@H]([C@@H](CNC(c2ccccc2)=O)c(cc2)cc3c2OCO3)OCOC)[C@H](COC(C)=O)O1,2.9956786262173574,1010.0,4wnv_meeko.pdb
C1SC(c2ccc(-c3cnccc3)o2)SC1,2.958607314841775,1100.0,4wnv_meeko.pdb
Cn1ncc(NC(c2c(N)sc(-c(c(F)ccc3)c3F)n2)=O)c1N(CC[C@H]1N)CC[C@H]1F,2.9507819773298185,1120.0,4wnv_meeko.pdb
Cn1ncc(NC(c2c(N)sc(-c(c(F)ccc3)c3F)n2)=O)c1N(CCC(C1)N)CC1(F)F,2.9355420107730814,1160.0,4wnv_meeko.pdb
CC(C)C(CCCN(C)CCc(cc1)cc(OC)c1OC)(c(cc1)cc(OC)c1OC)C#N,2.856985199745905,1390.0,4wnv_meeko.pdb
CC(SCc1ccc(-c2cnccc2)o1)=O,2.8239087409443187,1500.0,4wnv_meeko.pdb
CC1(C)O[C@@H]([C@@H]([C@@H](CNC(c2ccccc2)=O)c(cc2)cc3c2OCO3)OCOC)[C@H](CO)O1,2.8096683018297086,1550.0,4wnv_meeko.pdb
CC/C(/c(cc1)ccc1O)=C(/c(cc1)ccc1O)\c(cc1)ccc1OCCN,2.785156151952302,1640.0,4wnv_meeko.pdb
CS(CCNCc1ccc(-c(cc23)ccc3ncnc2Nc(cc2)cc(Cl)c2OCc2cc(F)ccc2)o1)(=O)=O,2.769551078621726,1700.0,4wnv_meeko.pdb
CC1(C)O[C@@H]([C@H]([C@H](CNC(c2ccccc2)=O)c(cc2)cc3c2OCO3)OCOC)[C@H](CO)O1,2.749579997691106,1780.0,4wnv_meeko.pdb
C[C@@H](C(N[C@@H]([C@H](C)N(C(CS(C)(=O)=O)=O)c(cccc1)c1N1Cc2noc3c2cccc3)C1=O)=O)NC.Cl,2.677780705266081,2100.0,4wnv_meeko.pdb
CC(C)C(CCCNCCc(cc1)cc(OC)c1OC)(c(cc1)cc(OC)c1OC)C#N,2.6757175447023074,2110.0,4wnv_meeko.pdb
CC(O[C@H]([C@H](c(cc1)ccc1OC)Sc(cccc1)c1N1CCN(C)C)C1=O)=O,2.657577319177794,2200.0,4wnv_meeko.pdb
COc(cc1)ccc1NC(c1cc(-c2ncncc2)nc2ccccc12)=O,2.657577319177794,2200.0,4wnv_meeko.pdb
O=C(c1cc(-c2ncncc2)nc2ccccc12)Nc1ccccc1,2.657577319177794,2200.0,4wnv_meeko.pdb
CC(C)[C@@H]([C@](CCN(C)CCCc1nc(cccc2)c2[nH]1)(CC1)OC(COC)=O)c(cc2)c1cc2F,2.638272163982407,2300.0,4wnv_meeko.pdb
Cc1ncc2n1-c(ccc(Cl)c1)c1C(c(cccc1)c1F)=NC2,2.607303046740334,2470.0,4wnv_meeko.pdb
