smiles,pKi,Ki,protein_path
COc(cc1)ccc1OCC(CN(CC1)CCN1C(C(NCc1ccccc1)=O)c(cc1)ccc1F)O,2.3010299956639813,5000.0,4wnv_meeko.pdb
Cc1cccc(C)c1OCC(CN(CC1)CCN1C(C(NCc(cc1)ccc1OC)=O)c(cc1)ccc1OC)O,2.3010299956639813,5000.0,4wnv_meeko.pdb
CC1(C)[C@@H]2C(CN(CC3)CCC3NC(Nc3cc(C(F)(F)F)cc(C(F)(F)F)c3)=O)=CC[C@H]1C2,2.3010299956639813,5000.0,4wnv_meeko.pdb
CCc1nc(C)c(CN(CC2)CCN2c2nccc(C(F)(F)F)c2)[nH]1,2.2596373105057563,5500.0,4wnv_meeko.pdb
NCc1ccc(-c2cnccc2)o1,2.2441251443275085,5700.0,4wnv_meeko.pdb
CCCc1cc(O)c([C@@H]2C=C(C)CC[C@H]2C(C)=C)c(O)c1,2.2365720064370627,5800.0,4wnv_meeko.pdb
O[C@H](CC[C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)[C@H]2C(O)=O,2.2006594505464183,6300.0,4wnv_meeko.pdb
CNC(CC1)CCN1c1nc(cccc2)c2n1Cc(cc1)ccc1F,2.1762650116012687,6664.0,4wnv_meeko.pdb
OC(CN(CC1)CCN1C(CNC(c(cc1)ccc1F)=O)c1ccccc1)COc1ccccc1,2.154901959985743,7000.0,4wnv_meeko.pdb
COc(cccc1)c1C(NCC(c1ccccc1)N1CCN(CC(COc(cc2)ccc2Cl)O)CC1)=O,2.154901959985743,7000.0,4wnv_meeko.pdb
COc1ccc(CNC(C(c(cc2)ccc2F)N2CCN(CC(COc(cc3)ccc3OC)O)CC2)=O)cc1,2.154901959985743,7000.0,4wnv_meeko.pdb
CN(C)CCCN1c(cc(cc2)Cl)c2Sc2c1cccc2,2.154901959985743,7000.0,4wnv_meeko.pdb
COc(cc(cc1)NS(C)(=O)=O)c1Nc1c(cccc2)c2nc2ccccc12,2.1249387366083,7500.0,4wnv_meeko.pdb
COc(cc1)ccc1C(NCC(c1ccccc1)N1CCN(CC(COc(cc2)ccc2OC)O)CC1)=O,2.0969100130080562,8000.0,4wnv_meeko.pdb
COc(cc1)ccc1OCC(CN(CC1)CCN1C(CNC(c(cccc1)c1OC)=O)c1ccccc1)O,2.0969100130080562,8000.0,4wnv_meeko.pdb
COCCCC/C(/c1ccc(C(F)(F)F)cc1)=N\OCCN,2.0969100130080562,8000.0,4wnv_meeko.pdb
CCC1C(CC2)CC(C(c3ccnc4ccccc34)O)N2C1,2.0177287669604316,9600.0,4wnv_meeko.pdb
C(CC1)CC(C2)C1C[n+](cc1)c2c2c1c(cccc1)c1[n-]2,2.0132282657337552,9700.0,4wnv_meeko.pdb
Cc1cccc(S(NCC(c2ccc(C(F)(F)F)cc2)N2CCN(CC(COc(cc3)ccc3Br)O)CC2)(=O)=O)c1,2.0,10000.0,4wnv_meeko.pdb
OC(CN(CC1)CCN1C(CNS(c(cccc1)c1Cl)(=O)=O)c1ccc(C(F)(F)F)cc1)COc(cc1)ccc1F,2.0,10000.0,4wnv_meeko.pdb
CN(C)Cc1ccc(-c2cnccc2)s1,1.8416375079047504,14400.0,4wnv_meeko.pdb
NCc1ccc(-c2ccccc2)o1,1.8297382846050425,14800.0,4wnv_meeko.pdb
CC(N1C2C=C(CN(C(CC3)C4)C3CC4NC(Nc3cc(C(F)(F)F)cc(F)c3)=O)CC1CCC2)=O,1.8239087409443189,15000.0,4wnv_meeko.pdb
COc1cc2c([C@H]([C@H](C[C@@H]3CC4)N4C[C@@H]3C=C)O)ccnc2cc1,1.6777807052660807,21000.0,4wnv_meeko.pdb
C=C[C@@H]1[C@@H](CC2)C[C@H]([C@H](c3ccnc4ccccc34)O)N2C1,1.6777807052660807,21000.0,4wnv_meeko.pdb
CC(Cc(cc1)cc2c1OCO2)NC,1.6420651529995463,22800.0,4wnv_meeko.pdb
COc1cc2c(C(C(CC(CC3)C(C4)C=C)[N+]34c3ccccc3)O)ccnc2cc1.[Cl-],1.6020599913279623,25000.0,4wnv_meeko.pdb
NCc1cc(-c2cccnc2)n[nH]1,1.5257837359237447,29800.0,4wnv_meeko.pdb
