protein_path,ligand
./data/8efo_cleaned.pdb,Cc1cc(O)cc(C)c1C[C@H](N)[C@@H](O)C/C=C/[C@@H](O)[C@@H](Cc1ccccc1)C(=O)NCCc1ccccc1
./data/8efo_cleaned.pdb,COc1ccc(CN(CCNC(=O)c2ccc(CNS(=O)(=O)c3ccccc3)cc2)C(C)C)cc1
./data/8efo_cleaned.pdb,COc1ccccc1N1CC2(CCN(CCc3ccccc3)CC2)OC(C)C1=O
./data/8efo_cleaned.pdb,C=C(C(N)=O)[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H]1CCN(C(=O)[C@H](N)Cc2c(C)cc(O)cc2C)C1)c1ccccc1
./data/8efo_cleaned.pdb,CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)C(N)=O
./data/8efo_cleaned.pdb,CN(C)C1(c2ccccc2)CCC(c2ccccc2)(N(C)C(=O)/C=C/c2ccccc2)CC1
./data/8efo_cleaned.pdb,CCOc1ccc(Cc2nc3cc(NC(=N)N[N+](=O)[O-])ccc3n2CCN(CC)CC)cc1.Cl.Cl
./data/8efo_cleaned.pdb,C[C@H]1CN(C[C@H](Cc2ccccc2)C(=O)NCC(=O)O)CC[C@@]1(C)c1cccc(O)c1
./data/8efo_cleaned.pdb,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
./data/8efo_cleaned.pdb,CCCCCCCN1C[C@H](C)[C@](C)(c2cccc(O)c2)C[C@H]1CCC
./data/8efo_cleaned.pdb,C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N(C)[C@@H](Cc1ccccc1)C(=O)NCCO
./data/8efo_cleaned.pdb,CN(C)CC1CN(C(=O)Cc2ccc(Cl)cc2)CCC1(O)c1cccc(O)c1
./data/8efo_cleaned.pdb,NC(=O)NCCC[C@H]1NC(=O)[C@@H](NC(=O)[C@H](N)Cc2ccc(O)cc2)CCCCNC(=O)CNC(=O)[C@@H](Cc2ccc(O)cc2)NC1=O
./data/8efo_cleaned.pdb,CN1CC[C@]23c4c5ccc(NCc6ccccc6O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
./data/8efo_cleaned.pdb,C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N(C)[C@@H](Cc1ccccc1)C(=O)NCCO
./data/8efo_cleaned.pdb,N[C@H](Cc1ccc(O)cc1)C(=O)N[C@H]1C/C=C/C[C@H](NC(=O)[C@H](N)Cc2ccc(O)cc2)C(=O)NCC(=O)N[C@H](Cc2ccccc2)C(=O)NNC(=O)[C@@H](Cc2ccccc2)NC(=O)CNC1=O.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F
./data/8efo_cleaned.pdb,CN1CCc2c(sc(/N=C/c3cc(Cl)ccc3O)c2C#N)C1
./data/8efo_cleaned.pdb,Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N[C@@H](C)C(=O)NCC(=O)N[C@@H](Cc1ccc(F)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCc1cc(C(F)(F)F)cc(C(F)(F)F)c1
./data/8efo_cleaned.pdb,O=C1[C@H](CCO)CC2=C([C@H]3Oc4c(O)ccc5c4[C@]34CCN(CC3CC3)[C@@H](C5)[C@@]4(O)C2)N1Cc1ccccc1
./data/8efo_cleaned.pdb,CCCC(=O)N(Cc1ccccc1)C1CCN(CCc2ccccc2)CC1
./data/8efo_cleaned.pdb,O=c1[nH]c2ccc(Cl)cc2n1C1CCN(Cc2ccc(Br)cc2F)CC1
./data/8efo_cleaned.pdb,CC1(C)c2[nH]nc(Nc3ncnc4ccoc34)c2CN1C(=O)N[C@H]1C[C@@H]1c1ccccc1
./data/8efo_cleaned.pdb,CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O
./data/8efo_cleaned.pdb,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
./data/8efo_cleaned.pdb,Oc1ccc2c3c1O[C@H]1c4[nH]c5c(c4C[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314)C[C@@]1(O)[C@H]2Cc3ccc(O)c4c3[C@@]1(CCN2CC1CC1)[C@H]5O4
./data/8efo_cleaned.pdb,O=C(c1ccco1)N(Cc1cccc(F)c1)C1CCN(CCc2ccccc2)CC1
./data/8efo_cleaned.pdb,Cc1cc(N2CCCc3cc(C(N)=O)ccc32)ccc1CNCCC1=CCCCC1
./data/8efo_cleaned.pdb,Cc1cc(O)cc(C)c1C[C@@H](N)C(=O)N[C@H]1CCCCNC(=O)C[C@H](C(N)=O)NC(=O)[C@H](Cc2cccc3ccccc23)NC(=O)[C@@H](Cc2ccccc2)NC1=O
./data/8efo_cleaned.pdb,Clc1ccc(CN2CCN(c3ncccn3)CC2)cc1
./data/8efo_cleaned.pdb,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2c2[nH]c4ccccc4c2C[C@@]3(CCCc2ccccc2)C1C5
./data/8efo_cleaned.pdb,Cc1ccc(CNCC[C@]2(c3ccccn3)CCOC3(CCCC3)C2)o1
./data/8efo_cleaned.pdb,CCCCCCCNCc1ccc(OCc2ccccc2C(=O)Nc2ccc3nc(C)cc(N)c3c2)cc1
./data/8efo_cleaned.pdb,C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N(C)[C@@H](Cc1ccccc1)C(=O)NCCO
